epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.644652,2.72802,4.98857,3.06974,0.00388,1,0.995,0.63183,0.35098,3.35736,0.86577,0,0,0
2,1.36777,1.99682,4.54988,2.13906,0.0039,1,0.995,0.64053,0.33013,3.35434,0.85602,1.50197e-05,1.50197e-05,1.50197e-05
3,2.06989,0.71189,3.83501,1.32607,0.00385,1,0.995,0.64675,0.30375,3.35084,0.8448,2.67387e-05,2.67387e-05,2.67387e-05
4,2.78852,2.17242,4.43668,2.32149,0.00385,1,0.74625,0.58634,0.29156,3.35107,0.8278,3.5157e-05,3.5157e-05,3.5157e-05
5,3.4309,0.54454,3.43807,1.26973,0.00385,1,0.74625,0.58634,0.29156,3.35107,0.8278,4.02747e-05,4.02747e-05,4.02747e-05
6,4.08868,0.48247,3.6873,1.13349,0.00378,1,0.597,0.597,0.2636,3.35816,0.78112,4.20917e-05,4.20917e-05,4.20917e-05
7,4.70437,0.79863,3.72784,1.60753,0.00378,1,0.597,0.597,0.2636,3.35816,0.78112,4.06081e-05,4.06081e-05,4.06081e-05
8,5.35605,1.12581,4.50781,1.70754,0.00369,1,0.66333,0.66333,0.25457,3.36186,0.76169,3.58238e-05,3.58238e-05,3.58238e-05
9,6.0073,0.3478,3.40939,1.27292,0.00369,1,0.66333,0.66333,0.25457,3.36186,0.76169,2.77389e-05,2.77389e-05,2.77389e-05
10,6.75184,1.08905,3.66981,1.47213,0.00368,1,0.66333,0.66333,0.24671,3.36113,0.74893,1.63533e-05,1.63533e-05,1.63533e-05
